10		이렇게 느리면 나가린데........		http://www.ddanzi.com/index.php?mid=free&document_srl=4258745		wolfstudio		2015-05-10				1979
11		ㄷ ㄷ ㄷ ㄷ ㄷ ㄷ 일단 가입부터		http://www.ddanzi.com/index.php?mid=free&document_srl=4258831		Camion乃		2015-05-10				1771
12		SLR에서 이사왔습니다		http://www.ddanzi.com/index.php?mid=free&document_srl=4258846		퍄노		2015-05-10				1843
13		난민대피소 인가요??		http://www.ddanzi.com/index.php?mid=free&document_srl=4258851		토리™		2015-05-10				2081
14		일단 피난옴..		http://www.ddanzi.com/index.php?mid=free&document_srl=4258872		고굼		2015-05-10				1639
15		우워워~~~		http://www.ddanzi.com/index.php?mid=free&document_srl=4258880		인페		2015-05-10				1596
16		아무리 자게 난민촌이라지만 말이죠...		http://www.ddanzi.com/index.php?mid=free&document_srl=4258950		일격살충		2015-05-10				1698
17		서버 사러 갔답니다 서버 사오면 마저 놀아야지		http://www.ddanzi.com/index.php?mid=free&document_srl=4258973		대구사는오씨		2015-05-10				1638
18		사진 어캐 올림?		http://www.ddanzi.com/index.php?mid=free&document_srl=4258997		배부른기마민족		2015-05-10				1800
19		오메.. 글 함 남겨 봅니다요~!		http://www.ddanzi.com/index.php?mid=free&document_srl=4259047		심심햇		2015-05-10				1521
20		..여긴 난민 수용소이긴 한데..환경이 열악함 ㅠㅡㅠ,,,		http://www.ddanzi.com/index.php?mid=free&document_srl=4259052		후지지말입니다		2015-05-10				1615
21		ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259137		달군씨앗		2015-05-10				1434
22		난민 왔어유 ㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259148		뉴비-★		2015-05-10				1398
23		이쯤되면 양손에 서버끼고 총수가 격하게 환영해줘야되는거 아니오?		http://www.ddanzi.com/index.php?mid=free&document_srl=4259159		자연은블루베리		2015-05-10				1457
24		요기가 난민수용소인가요?		http://www.ddanzi.com/index.php?mid=free&document_srl=4259168		투명인간ㅠ.ㅠ		2015-05-10				1410
25		서버 증설을 위해 24:00 재부팅 합니다.		http://www.ddanzi.com/index.php?mid=free&document_srl=4259190		관리자		2015-05-10		1		6991
26		아직 순위권인듯요~!!		http://www.ddanzi.com/index.php?mid=free&document_srl=4259215		최파르타쿠스		2015-05-10				1345
27		이 정도 속도면 서버산다고 해결이..		http://www.ddanzi.com/index.php?mid=free&document_srl=4259237		NU예삐오		2015-05-10				1453
28		딴지일보에서 서버구매비 필요하다면.. ㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259301		▶◀고소한레고밥		2015-05-10				1737
29		난민입니다....		http://www.ddanzi.com/index.php?mid=free&document_srl=4259317		balamdoli		2015-05-10				1329
30		서버 증설로 해결 될지는 모르겠지만 ...		http://www.ddanzi.com/index.php?mid=free&document_srl=4259341		▶◀MioTakaba잇힝		2015-05-10				1345
31		이게 다 너희들 때문이야 ㄷㄷ 有		http://www.ddanzi.com/index.php?mid=free&document_srl=4259323		감자고구마깡		2015-05-10				1760
32		일단 여기로 왔습니다...		http://www.ddanzi.com/index.php?mid=free&document_srl=4259379		박대표™		2015-05-10				1305
33		이민기념으로 남김		http://www.ddanzi.com/index.php?mid=free&document_srl=4259456		바벨의도서관		2015-05-10				1320
34		ㄷㄷ 자게이분들 안녕하세요 ㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259465		진지한너부리		2015-05-10		1		2734
35		아.. 느려유 ㄷ ㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259580		claire		2015-05-10				1313
36		ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259584		웅컁		2015-05-10				1310
37		한밤중에 이게 먼일..ㅋ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259603		사랑지나고나면		2015-05-10		1		1377
38		여기도 자게가 생겼구나.....		http://www.ddanzi.com/index.php?mid=free&document_srl=4259607		물빛세상		2015-05-10				1388
39		이미지 업로드 테스트 有		http://www.ddanzi.com/index.php?mid=free&document_srl=4259610		NU예삐오		2015-05-10				1802
40		다 괜찮은데 장터는 참 마음에 들었는데 장터대체할만한 사이트 있나요??		http://www.ddanzi.com/index.php?mid=free&document_srl=4259661		관리자		2015-05-10		1		3879
41		에쎄랄 난민 등록합니다..		http://www.ddanzi.com/index.php?mid=free&document_srl=4259783		똥꼬사냥		2015-05-10				1354
42		일단 발 먼저 담가봅니다..		http://www.ddanzi.com/index.php?mid=free&document_srl=4259880		Cookie™		2015-05-10				1352
43		이번사태를 기사로 써도 될듯....ㄷ ㄷ ㄷ ㄷ ㄷ ㄷ  ㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259891		후지지말입니다		2015-05-10				1424
44		저도 왔습니다 ㅋㅋ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259951		엘렌즈		2015-05-10				1391
45		산넘고 물건너 온 난민 입니다		http://www.ddanzi.com/index.php?mid=free&document_srl=4259963		한쪽눈을감는이유		2015-05-10				1434
46		난민신청 ㄷㄷㄷㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4259969		총각네과일AV가게		2015-05-10				1422
47		내일이 월요일이니 내일을 위해 자러가야겠네유.. 러시아 걸그룹 영상 투척		http://www.ddanzi.com/index.php?mid=free&document_srl=4260030		아모피스		2015-05-10				1588
48		성인게시판도 만들어주세요 ㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4260035		내가누구징		2015-05-10				1603
49		구경하러 왔슴다..ㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4260121		뭐_임마		2015-05-10				1432
50		일단 망명왔어요		http://www.ddanzi.com/index.php?mid=free&document_srl=4260171		그러게말입니다		2015-05-10		1		1410
51		느리지만 않다면 ..		http://www.ddanzi.com/index.php?mid=free&document_srl=4260220		▶◀MioTakaba잇힝		2015-05-10				1447
52		서버 리붓전 가입 완료...		http://www.ddanzi.com/index.php?mid=free&document_srl=4260400		canonlove		2015-05-10				1462
53		딴지 가입후 첫글		http://www.ddanzi.com/index.php?mid=free&document_srl=4260352		고소한고래밥		2015-05-10		1		8257
54		응원합니다		http://www.ddanzi.com/index.php?mid=free&document_srl=4260435		길잃은자게이		2015-05-10				1478
55		아몰랑 딴지는 너무 느령		http://www.ddanzi.com/index.php?mid=free&document_srl=4260447		현기차알바		2015-05-10				1551
56		아 느린것만 해결되면 좋겠네유 ㄷ ㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4260464		아리어리		2015-05-10				1480
57		24시 리부팅 기대됩니다유- ㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4260484		아몰랑		2015-05-10				1497
58		오늘 처음 가입한 신입이예유 ㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4260495		★´`°³о涅槃о³°`‘★		2015-05-10		1		1526
59		수고 많으십니다		http://www.ddanzi.com/index.php?mid=free&document_srl=4260531		이웃삼촌		2015-05-10				1522
60		하~ 냄새가 진동을 하네유		http://www.ddanzi.com/index.php?mid=free&document_srl=4260565		이거~아실만한분이		2015-05-10				1631
61		딴지 은둔 15년만에 이런 경사스런일이 ㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4260577		영군		2015-05-10				1744
62		스르륵에서 넘어왔어유 ㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4260606		립톤포도맛		2015-05-10				1557
63		12시에 서버 업 한단거 참말일라나@@		http://www.ddanzi.com/index.php?mid=free&document_srl=4260670		silenshot		2015-05-10				1582
64		에혀... 이사 왔습니다.		http://www.ddanzi.com/index.php?mid=free&document_srl=4260709		멜랑캠프		2015-05-10				1588
65		딴지서버야힘내!!		http://www.ddanzi.com/index.php?mid=free&document_srl=4260699		뽏롫뽏롫밇		2015-05-10		1		1722
66		저...혹시 여기가 맞나유		http://www.ddanzi.com/index.php?mid=free&document_srl=4260742		slrmono		2015-05-10				1611
67		리붓중인가 겁나느림.... 이민왔어요.		http://www.ddanzi.com/index.php?mid=free&document_srl=4260775		핸진이20승		2015-05-11				1628
68		서버 언능사주세요 현기증난단 말이에요...		http://www.ddanzi.com/index.php?mid=free&document_srl=4260796		아무거나해봐요		2015-05-11				1719
69		이사왔어요		http://www.ddanzi.com/index.php?mid=free&document_srl=4260874		레벨1		2015-05-11				1635
70		관리자님 서버증설보다 더 중요한게 있습니다. 그거슨 바로!! 뺑뺑이!!		http://www.ddanzi.com/index.php?mid=free&document_srl=4260940		zziziree		2015-05-11				1789
71		재부팅 1등!!!!!		http://www.ddanzi.com/index.php?mid=free&document_srl=4260993		엘렌즈		2015-05-11				1693
72		ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261009		웅컁		2015-05-11				1679
73		리붓해도 느려요...		http://www.ddanzi.com/index.php?mid=free&document_srl=4261014		끼움증권		2015-05-11				1716
74		느려유! 느려유!		http://www.ddanzi.com/index.php?mid=free&document_srl=4261028		아몰랑		2015-05-11				1676
75		음 아직 느린듯?		http://www.ddanzi.com/index.php?mid=free&document_srl=4261032		박대표™		2015-05-11				1710
76		여기 인가요 ??		http://www.ddanzi.com/index.php?mid=free&document_srl=4261059		▶◀MioTakaba잇힝		2015-05-11				1688
77		스르륵에서 왔습니다 ㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261063		AMG		2015-05-11				1716
78		속도가....		http://www.ddanzi.com/index.php?mid=free&document_srl=4261090		사랑지나고나면		2015-05-11				1694
79		횽 서버 사온거 맞아??조선컴 사온거 아냐?		http://www.ddanzi.com/index.php?mid=free&document_srl=4261107		현기차알바		2015-05-11				1870
80		안녕하세유 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261144		멘촙		2015-05-11				1691
81		딴지 서버야 힘내		http://www.ddanzi.com/index.php?mid=free&document_srl=4261206		Moty		2015-05-11				1724
82		아... 아직 느려용..		http://www.ddanzi.com/index.php?mid=free&document_srl=4261214		일격살충		2015-05-11				1742
83		자게에서 왔습니다		http://www.ddanzi.com/index.php?mid=free&document_srl=4261282		Reality@Bites		2015-05-11				1765
84		딴지 자게에 원하는 기능 ㄷㄷㄷ		http://www.ddanzi.com/index.php?mid=free&document_srl=4261299		아몰랑		2015-05-11				1776
